flat_id	rooms	studio	total_area	living_area	kitchen_area	refit	prepayment	view_from_windows	balconies	floor	floors	deposit	utility_bills	ceiling_height	gaz	garbage_chute	building_year	walls	ceiling_type	rent	можно с детьми	микроволновая печь	интернет	парк	закрытая территория	кондиционер	стиральная машина	холодильник	посудомоечная машина	мебель в комнатах	можно с животными	плита	мебель на кухне	телевизор	фитнес
2061710356	0	1	16.0	12.0						15	18	34000	no	2.5	0	0	2019	mono	ferroc	34000	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0
2062110419	1	0	38.0	20.0	18.0	euro			1	3	24	35000			0	0	2020	mixed	ferroc	35000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061606533	2	0	77.0	30.0	35.0	design			1	10	14	250000	yes		0	0	2006	mono	ferroc	220000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2060903386	0	1	20.0	14.0		euro	1	yard		1	5	29000	no		1	0	1908	brick	mixed	29000	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0
2062064934	2	0	56.8	32.0	12.0	euro	50000	yard	1	17	17	50000	no		0	1	2008	mono	ferroc	50000	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0
2061446735	2	0	65.0	38.0	14.0		85000			7	9	85000	no	3.0	0	1	2006	mono	ferroc	85000	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0
2061381745	2	0	48.0	25.0	10.0	euro			1	4	12	110000	no		0	0	2022	mixed	ferroc	110000	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2056137743	0	1	23.0			design		both		13	20	27000	no	2.7	1	0	2022	mixed	ferroc	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1874741926	1	0	35.0	22.0	7.0	design		yard		6	9	45000	no	3.0	1	1	1974	panel	ferroc	45000	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1
2061897497	0	1	27.1	15.0	5.0	euro			1	4	23	29000	no	2.7	0	1	2013	mono	ferroc	29000	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2062071710	1	0	32.5	15.4	9.3					1	5			2.56	1	0	2013	mono	ferroc	28000	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0
2060902636	0	1	20.0	15.0		euro		yard		2	5				1	0	1908	brick	mixed	29000	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2061733341	2	0	50.0	28.0	10.0	euro		both		5	5	65000	no		1	0	1938	brick	mixed	65000	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0
2061445143	1	0	58.9	17.0	10.8	euro		street		6	10	35000	no	2.7	1	1	2005	panel	ferroc	35000	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0
2061736997	1	0	36.0	24.0	10.0					2	10	32000		2.6	0	0	2020	brick	ferroc	32000	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0
2061976207	3	0	88.0	50.0	13.0	euro		street	1	15	24	78000	no		1	1	2002	mono	ferroc	78000	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0
2061708534	3	0	85.0	52.0	20.0	euro		both	1	9	27	85000	no		1	1	2016	brick	ferroc	85000	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0
2061848655	0	1	27.0	20.0	7.0	design	нет	yard		3	13	42000	by_counters	2.7	1	0	2022	panel	ferroc	42000	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1
2061829639	2	0	55.7	30.0	10.0	euro		yard		4	19	60000			0	1	2013	mono	ferroc	60000	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
2061710359	0	1	19.0	13.0						8	18	35000	no	2.5	0	0	2019	mono	ferroc	35000	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0
2061608441	1	0	45.0	20.0	12.0	design			1	13	22	75000	no		0	0	2018	mixed	ferroc	75000	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0
2061381729	3	0	85.0	52.0	13.0	design		both		11	20	250000	yes	2.5	0	1	2015	mono	ferroc	230000	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0
